iter	RMSE
0	125390.8984
1	121107.8381
2	117078.2551
3	113182.8529
4	109614.0982
5	106241.4351
6	103024.2741
7	99946.47523
8	96905.34578
9	93961.37256
10	91273.19571
11	88735.28366
12	86421.56237
13	84344.07173
14	82346.85383
15	80494.49586
16	78556.66005
17	76999.69536
18	75346.98116
19	73715.88902
20	72288.09831
21	70848.36054
22	69644.52682
23	68412.88224
24	67277.73731
25	66161.5202
26	65101.22042
27	64105.88141
28	63155.84561
29	62305.39193
30	61478.04543
31	60746.01615
32	60041.84788
33	59359.50538
34	58698.14981
35	58064.97722
36	57496.24234
37	56944.28001
38	56389.39259
39	55926.18325
40	55446.98765
41	54968.35483
42	54539.70151
43	54133.99401
44	53740.79287
45	53372.73064
46	53015.12002
47	52727.82768
48	52344.94549
49	52051.16631
50	51734.3211
51	51448.39182
52	51060.99272
53	50791.31429
54	50556.4147
55	50315.04306
56	50079.15928
57	49829.63955
58	49607.98861
59	49383.41132
60	49147.14864
61	48857.42633
62	48696.05335
63	48533.71151
64	48278.30067
65	48094.72211
66	47924.14571
67	47706.42456
68	47490.41625
69	47228.45223
70	47072.46337
71	46918.47504
72	46767.63719
73	46633.99411
74	46525.5479
75	46381.81935
76	46284.92407
77	46165.36203
78	46036.99438
79	45946.87702
80	45743.48565
81	45659.43962
82	45539.6604
83	45446.6036
84	45373.35103
85	45207.25539
86	45134.03853
87	45040.31052
88	44896.62291
89	44801.5862
90	44720.2055
91	44607.20248
92	44532.34103
93	44442.59497
94	44353.50704
95	44172.55732
96	44057.20447
97	43977.54535
98	43914.60138
99	43837.80894
100	43670.75424
101	43640.35951
102	43577.46874
103	43520.04564
104	43405.50921
105	43353.91513
106	43326.31652
107	43227.48914
108	43207.30921
109	43156.90985
110	43084.85285
111	43012.39441
112	42974.9201
113	42843.93739
114	42788.1184
115	42720.9279
116	42674.08888
117	42556.23547
118	42556.22911
119	42497.7638
120	42443.76938
121	42414.56498
122	42371.10273
123	42317.46201
124	42275.57726
125	42212.43045
126	42160.7177
127	42120.88809
128	42085.80902
129	42085.80625
130	42034.64132
131	41994.77494
132	41953.60285
133	41946.40407
134	41946.40151
135	41906.76752
136	41876.0186
137	41851.13292
138	41815.60295
139	41815.0512
140	41794.50482
141	41794.50254
142	41742.48838
143	41636.67653
144	41604.61406
145	41536.94639
146	41499.21863
147	41482.46182
148	41393.66415
149	41390.64186
150	41302.49674
151	41258.08058
152	41240.93527
153	41209.09953
154	41115.2591
155	41097.88484
156	41063.11652
157	41018.66646
158	41013.44643
159	41013.00212
160	40980.60733
161	40935.2541
162	40918.80429
163	40901.7513
164	40901.74996
165	40868.08294
166	40842.3218
167	40739.72302
168	40685.36878
169	40685.36742
170	40643.79616
171	40563.00934
172	40549.34517
173	40541.58678
174	40504.40383
175	40495.77255
176	40453.84626
177	40447.14846
178	40386.05596
179	40353.79835
180	40330.50575
181	40312.39984
182	40267.99929
183	40196.30508
184	40145.39231
185	40127.59604
186	40106.10187
187	40062.6761
188	40003.98731
189	39965.34973
190	39932.49108
191	39922.17309
192	39881.38827
193	39845.82792
194	39831.549
195	39764.0682
196	39764.06745
197	39736.79028
198	39735.94917
199	39722.66392
200	39690.5323
201	39690.208
202	39661.51422
203	39660.24715
204	39608.28133
205	39607.93611
206	39580.4748
207	39554.94636
208	39554.64975
209	39554.3605
210	39536.3057
211	39524.05684
212	39483.74533
213	39483.46007
214	39456.04229
215	39418.14634
216	39379.01132
217	39379.0106
218	39378.74051
219	39368.59779
220	39368.34089
221	39364.95224
222	39319.06953
223	39296.95681
224	39254.92679
225	39254.6795
226	39225.7698
227	39225.5287
228	39207.24488
229	39178.28361
230	39136.56785
231	39120.94622
232	39116.06364
233	39115.85386
234	39115.61731
235	39058.4922
236	39030.73879
237	39012.4681
238	38996.46077
239	38973.60528
240	38922.10122
241	38921.88379
242	38921.69737
243	38921.51558
244	38921.3383
245	38888.68373
246	38873.67796
247	38843.81731
248	38815.03561
249	38814.29465
