iter	Passed	Remaining
0	46	11567
1	98	12220
2	151	12443
3	203	12512
4	259	12720
5	309	12600
6	362	12586
7	414	12534
8	471	12614
9	522	12546
10	574	12482
11	640	12696
12	712	12981
13	785	13240
14	835	13089
15	886	12962
16	939	12878
17	1009	13008
18	1077	13102
19	1131	13015
20	1186	12940
21	1238	12831
22	1285	12682
23	1336	12581
24	1389	12502
25	1451	12507
26	1504	12428
27	1556	12339
28	1611	12283
29	1663	12201
30	1716	12123
31	1766	12034
32	1820	11969
33	1870	11880
34	1922	11810
35	1974	11739
36	2030	11688
37	2079	11602
38	2130	11527
39	2184	11468
40	2236	11398
41	2287	11329
42	2338	11259
43	2393	11205
44	2444	11137
45	2501	11094
46	2552	11023
47	2602	10950
48	2655	10894
49	2705	10821
50	2753	10743
51	2804	10679
52	2886	10727
53	2956	10731
54	3011	10678
55	3060	10600
56	3110	10530
57	3158	10456
58	3210	10392
59	3258	10317
60	3309	10253
61	3358	10183
62	3411	10126
63	3462	10062
64	3513	9999
65	3568	9948
66	3616	9878
67	3671	9827
68	3723	9768
69	3777	9713
70	3827	9650
71	3876	9584
72	3929	9527
73	3979	9464
74	4032	9409
75	4089	9362
76	4138	9298
77	4191	9243
78	4244	9186
79	4290	9116
80	4346	9068
81	4399	9012
82	4455	8965
83	4504	8901
84	4554	8840
85	4610	8792
86	4666	8742
87	4717	8684
88	4772	8633
89	4825	8578
90	4874	8517
91	4929	8466
92	4979	8405
93	5050	8381
94	5117	8349
95	5187	8321
96	5237	8260
97	5292	8209
98	5343	8150
99	5395	8093
100	5454	8047
101	5504	7986
102	5558	7932
103	5608	7873
104	5664	7821
105	5715	7764
106	5768	7708
107	5821	7653
108	5872	7596
109	5923	7539
110	5976	7483
111	6028	7428
112	6081	7372
113	6132	7316
114	6186	7262
115	6243	7211
116	6292	7153
117	6345	7098
118	6369	7011
119	6423	6958
120	6475	6903
121	6524	6845
122	6571	6785
123	6621	6728
124	6668	6668
125	6727	6620
126	6776	6562
127	6827	6507
128	6878	6452
129	6895	6365
130	6952	6315
131	7001	6259
132	7053	6204
133	7109	6154
134	7126	6070
135	7178	6017
136	7265	5992
137	7341	5958
138	7396	5906
139	7420	5830
140	7470	5775
141	7490	5697
142	7542	5643
143	7594	5590
144	7651	5540
145	7707	5490
146	7757	5435
147	7808	5381
148	7859	5327
149	7911	5274
150	7963	5221
151	8013	5166
152	8063	5111
153	8119	5061
154	8172	5008
155	8232	4960
156	8284	4907
157	8332	4851
158	8386	4799
159	8417	4734
160	8466	4680
161	8525	4631
162	8576	4577
163	8627	4524
164	8644	4453
165	8699	4402
166	8749	4348
167	8800	4295
168	8855	4244
169	8871	4174
170	8925	4123
171	8979	4072
172	9022	4015
173	9062	3958
174	9121	3909
175	9175	3857
176	9229	3806
177	9279	3753
178	9331	3701
179	9386	3650
180	9482	3614
181	9555	3570
182	9606	3517
183	9661	3465
184	9718	3414
185	9769	3361
186	9821	3308
187	9873	3256
188	9930	3205
189	9981	3152
190	10034	3099
191	10090	3048
192	10138	2994
193	10193	2942
194	10244	2889
195	10300	2837
196	10318	2776
197	10370	2723
198	10422	2671
199	10475	2618
200	10524	2565
201	10549	2506
202	10602	2454
203	10649	2401
204	10699	2348
205	10728	2291
206	10779	2239
207	10830	2186
208	10852	2129
209	10876	2071
210	10926	2019
211	10974	1967
212	11024	1915
213	11047	1858
214	11099	1806
215	11147	1754
216	11199	1703
217	11217	1646
218	11239	1590
219	11289	1539
220	11312	1484
221	11363	1433
222	11417	1382
223	11472	1331
224	11522	1280
225	11547	1226
226	11599	1175
227	11651	1124
228	11729	1075
229	11782	1024
230	11836	973
231	11887	922
232	11934	870
233	11963	817
234	11986	765
235	12038	714
236	12092	663
237	12145	612
238	12198	561
239	12247	510
240	12304	459
241	12326	407
242	12348	355
243	12371	304
244	12392	252
245	12447	202
246	12495	151
247	12544	101
248	12598	50
249	12650	0
